source,target,target_kind
core.civilization_memory,core.memory.civilization_memory,research
core.civilization_memory,infrastructure.database,production
core.civilization_orchestrator,core.alert_manager,support
core.civilization_orchestrator,core.audit_logger,support
core.civilization_orchestrator,core.causal_engine,support
core.civilization_orchestrator,core.civilization_memory,research
core.civilization_orchestrator,core.future_engine,shadow_wrapper
core.civilization_orchestrator,core.orchestration.civilization_orchestrator,support
core.civilization_orchestrator,core.self_modifier,shadow_wrapper
core.civilization_orchestrator,core.survival_policy,support
core.civilization_orchestrator,core.world_model,support
core.civilization_orchestrator,infrastructure.database,production
core.civilization_strategy_engine,core.alert_manager,support
core.civilization_strategy_engine,core.alignment_constitution,shadow_wrapper
core.civilization_strategy_engine,core.audit_logger,support
core.civilization_strategy_engine,core.autonomous_researcher,support
core.civilization_strategy_engine,core.civilization_immune_system,shadow_wrapper
core.civilization_strategy_engine,core.future_synthesis_engine,shadow_wrapper
core.civilization_strategy_engine,core.meta_cognition,shadow_wrapper
core.civilization_strategy_engine,core.strategy.civilization_strategy_engine,support
core.civilization_strategy_engine,infrastructure.database,production
core.cognition.meta_cognition,core.alignment_constitution,shadow_wrapper
core.cognition.meta_cognition,core.knowledge.knowledge_graph,support
core.cognition.meta_cognition,core.monitoring.alert_manager,support
core.cognition.meta_cognition,core.monitoring.audit_logger,support
core.cognition.meta_cognition,infrastructure.database,production
core.decision_engine,core.betting.decision_engine,production
core.economics.resource_economy,core.alert_manager,support
core.economics.resource_economy,core.audit_logger,support
core.economics.resource_economy,infrastructure.database,production
core.evolution.__init__,core.evolution.diagnosis_engine,research
core.evolution.__init__,core.evolution.evolution_engine,research
core.evolution.__init__,core.evolution.global_fitness,research
core.evolution.evolution_engine,core.adaptation.auto_evolver,research
core.evolution.evolution_engine,core.adaptation.auto_retrainer,research
core.evolution.evolution_engine,core.evolution.model_registry,research
core.execution.auto_operator,core.auto_operator,production
core.execution.execution_engine,core.alert_manager,support
core.execution.execution_engine,core.audit_logger,support
core.execution.execution_engine,core.self_modifier,shadow_wrapper
core.execution.execution_engine,core.survival_policy,support
core.execution.execution_engine,infrastructure.database,production
core.execution.scheduler,core.alert_manager,support
core.execution.scheduler,core.state_manager,support
core.execution.scheduler,core.system_orchestrator,production
core.execution_engine,core.alert_manager,support
core.execution_engine,core.audit_logger,support
core.execution_engine,core.execution.execution_engine,production
core.execution_engine,core.self_modifier,shadow_wrapper
core.execution_engine,core.survival_policy,support
core.execution_engine,infrastructure.database,production
core.executive_controller,core.alert_manager,support
core.executive_controller,core.audit_logger,support
core.executive_controller,core.regime_detector,support
core.executive_controller,core.state_manager,support
core.executive_controller,core.strategy.executive_controller,support
core.executive_controller,learning.meta_learner,research
core.executive_controller,learning.strategy_evolver,research
core.executive_controller,memory.knowledge_graph,support
core.future.future_engine,core.alert_manager,support
core.future.future_engine,core.audit_logger,support
core.future.future_engine,core.world_model,support
core.future.future_engine,infrastructure.database,production
core.future.future_synthesis_engine,core.alert_manager,support
core.future.future_synthesis_engine,core.audit_logger,support
core.future.future_synthesis_engine,core.autonomous_researcher,support
core.future.future_synthesis_engine,core.knowledge_graph,support
core.future.future_synthesis_engine,core.meta_cognition,shadow_wrapper
core.future.future_synthesis_engine,infrastructure.database,production
core.future_engine,core.alert_manager,support
core.future_engine,core.audit_logger,support
core.future_engine,core.future.future_engine,research
core.future_engine,core.world_model,support
core.future_engine,infrastructure.database,production
core.future_synthesis_engine,core.alert_manager,support
core.future_synthesis_engine,core.audit_logger,support
core.future_synthesis_engine,core.autonomous_researcher,support
core.future_synthesis_engine,core.future.future_synthesis_engine,research
core.future_synthesis_engine,core.knowledge_graph,support
core.future_synthesis_engine,core.meta_cognition,shadow_wrapper
core.future_synthesis_engine,infrastructure.database,production
core.immune.civilization_immune_system,core.alert_manager,support
core.immune.civilization_immune_system,core.alignment_constitution,shadow_wrapper
core.immune.civilization_immune_system,core.audit_logger,support
core.immune.civilization_immune_system,core.meta_cognition,shadow_wrapper
core.immune.civilization_immune_system,infrastructure.database,production
core.knowledge.causal_engine,core.alert_manager,support
core.knowledge.causal_engine,core.audit_logger,support
core.knowledge.causal_engine,infrastructure.database,production
core.knowledge.knowledge_graph,core.alert_manager,support
core.knowledge.knowledge_graph,core.audit_logger,support
core.knowledge.knowledge_graph,infrastructure.database,production
core.knowledge_graph,core.alert_manager,support
core.knowledge_graph,core.audit_logger,support
core.knowledge_graph,core.knowledge.knowledge_graph,support
core.knowledge_graph,infrastructure.database,production
core.memory.civilization_memory,core.alert_manager,support
core.memory.civilization_memory,core.audit_logger,support
core.memory.civilization_memory,infrastructure.database,production
core.memory.episodic_memory,core.utilities,external
core.memory.memory_consolidation,core.utilities,external
core.memory.semantic_memory,core.utilities,external
core.meta_cognition,core.alert_manager,support
core.meta_cognition,core.alignment_constitution,shadow_wrapper
core.meta_cognition,core.audit_logger,support
core.meta_cognition,core.cognition.meta_cognition,research
core.meta_cognition,core.knowledge_graph,support
core.meta_cognition,infrastructure.database,production
core.meta_controller,core.cognition.meta_controller,research
core.monitoring.decision_logger,core.decision_logger,support
core.monitoring.diagnostics_engine,core.utilities,external
core.monitoring.telemetry,core.utilities,external
core.orchestration.civilization_orchestrator,core.adaptation.auto_evolver,research
core.orchestration.civilization_orchestrator,core.alert_manager,support
core.orchestration.civilization_orchestrator,core.alignment.governance_engine,research
core.orchestration.civilization_orchestrator,core.audit_logger,support
core.orchestration.civilization_orchestrator,core.causal_engine,support
core.orchestration.civilization_orchestrator,core.civilization_memory,research
core.orchestration.civilization_orchestrator,core.evolution.diagnosis_engine,research
core.orchestration.civilization_orchestrator,core.evolution.evolution_engine,research
core.orchestration.civilization_orchestrator,core.evolution.global_fitness,research
core.orchestration.civilization_orchestrator,core.future.future_engine,research
core.orchestration.civilization_orchestrator,core.self_modifier,shadow_wrapper
core.orchestration.civilization_orchestrator,core.survival.survival_policy,support
core.orchestration.civilization_orchestrator,core.world.world_model,support
core.orchestration.civilization_orchestrator,infrastructure.database,production
core.prediction.predictor,learning.model_factory,research
core.prediction.predictor,schemas.race_schema,support
core.predictor,core.prediction.predictor,production
core.predictor,schemas.race_schema,support
core.regime_detector,core.prediction.regime_detector,production
core.research.autonomous_researcher,core.alert_manager,support
core.research.autonomous_researcher,core.audit_logger,support
core.research.autonomous_researcher,core.knowledge_graph,support
core.research.autonomous_researcher,core.meta_cognition,shadow_wrapper
core.research.autonomous_researcher,infrastructure.database,production
core.self_modifier,core.adaptation.self_modifier,research
core.self_modifier,core.alert_manager,support
core.self_modifier,core.audit_logger,support
core.self_modifier,core.survival_policy,support
core.self_modifier,infrastructure.database,production
core.state_manager,core.memory.state_manager,research
core.strategy.civilization_strategy_engine,core.alert_manager,support
core.strategy.civilization_strategy_engine,core.alignment_constitution,shadow_wrapper
core.strategy.civilization_strategy_engine,core.audit_logger,support
core.strategy.civilization_strategy_engine,core.autonomous_researcher,support
core.strategy.civilization_strategy_engine,core.civilization_immune_system,shadow_wrapper
core.strategy.civilization_strategy_engine,core.future_synthesis_engine,shadow_wrapper
core.strategy.civilization_strategy_engine,core.meta_cognition,shadow_wrapper
core.strategy.civilization_strategy_engine,infrastructure.database,production
core.strategy.executive_controller,core.alert_manager,support
core.strategy.executive_controller,core.audit_logger,support
core.strategy.executive_controller,core.regime_detector,support
core.strategy.executive_controller,core.state_manager,support
core.strategy.executive_controller,learning.meta_learner,research
core.strategy.executive_controller,learning.strategy_evolver,research
core.strategy.executive_controller,memory.knowledge_graph,support
core.survival.survival_policy,core.alert_manager,support
core.survival.survival_policy,core.audit_logger,support
core.survival.survival_policy,infrastructure.database,production
core.survival_policy,core.alert_manager,support
core.survival_policy,core.audit_logger,support
core.survival_policy,core.survival.survival_policy,support
core.survival_policy,infrastructure.database,production
core.system_orchestrator,core.auto_retrainer,shadow_wrapper
core.system_orchestrator,core.regime_detector,support
core.system_orchestrator,scraping.netkeiba_scraper,support
core.system_orchestrator,simulation.live_simulation,production
core.world.world_model,core.alert_manager,support
core.world.world_model,core.audit_logger,support
core.world.world_model,infrastructure.database,production
core.world_model,core.alert_manager,support
core.world_model,core.audit_logger,support
core.world_model,core.world.world_model,support
core.world_model,infrastructure.database,production
dashboard.app,core.regime_detector,support
dashboard.app,core.system_orchestrator,production
dashboard.app,learning.performance_analyzer,research
dashboard.control_panel,core.system_orchestrator,production
execution.phase2_loop,learning.performance_analyzer,research
execution.phase2_loop,learning.reliability_curve,research
execution.race_runner,core.decision_engine,support
execution.race_runner,execution.phase2_loop,production
infrastructure.api_server,core.alert_manager,support
infrastructure.api_server,core.audit_logger,support
infrastructure.api_server,core.executive_controller,support
infrastructure.api_server,core.state_manager,support
infrastructure.api_server,learning.meta_learner,research
infrastructure.api_server,learning.strategy_evolver,research
infrastructure.api_server,memory.knowledge_graph,support
infrastructure.cluster_manager,core.alert_manager,support
infrastructure.cluster_manager,core.audit_logger,support
infrastructure.cluster_manager,infrastructure.database,production
infrastructure.orchestrator,core.alert_manager,support
infrastructure.orchestrator,core.audit_logger,support
infrastructure.orchestrator,core.executive_controller,support
infrastructure.orchestrator,infrastructure.cluster_manager,production
infrastructure.orchestrator,infrastructure.database,production
infrastructure.orchestrator,infrastructure.worker_node,production
infrastructure.task_queue,core.alert_manager,support
infrastructure.task_queue,core.audit_logger,support
infrastructure.task_queue,infrastructure.database,production
infrastructure.worker_node,core.alert_manager,support
infrastructure.worker_node,core.audit_logger,support
infrastructure.worker_node,infrastructure.database,production
infrastructure.worker_node,infrastructure.task_queue,production
integration_test,main,production
learning.auto_evolver,learning.performance_analyzer,research
learning.auto_evolver,learning.strategy_updater,research
learning.performance_analyzer,core.betting.uncertainty_monitor,production
learning.roi_analyzer,learning.uncertainty,research
learning.strategy_evolver,simulation.live_simulation,production
learning.trainer,learning.model_factory,research
learning.updater,learning.strategy_updater,research
main,core,external
main,core.cognition.meta_controller,research
main,learning.brier_score,research
main,learning.monte_carlo,research
main,learning.performance_analyzer,research
main,learning.reliability_curve,research
main,meta.ai_evaluator,research
main,meta.portfolio_manager,research
scraping.netkeiba_scraper,core.horse_history_builder,support
scripts.alternative_policy_runner,scripts.counterfactual_common,support
scripts.bankroll_path_simulator,scripts.counterfactual_common,support
scripts.collect_data,core.horse_history_builder,support
scripts.collect_data,scraping.netkeiba_scraper,support
scripts.counterfactual_replay,scripts.counterfactual_common,support
scripts.feature_contribution_analyzer,scripts.market_attribution_utils,support
scripts.leakage_audit,core.audit.leakage_auditor,support
scripts.market_attribution_utils,learning.model_factory,research
scripts.market_attribution_utils,learning.uncertainty,research
scripts.market_dependency_report,scripts.market_attribution_utils,support
scripts.market_dependency_report,scripts.odds_ablation,support
scripts.monthly_retrain,learning.model_factory,research
scripts.monthly_retrain,learning.uncertainty,research
scripts.odds_ablation,scripts.market_attribution_utils,support
scripts.odds_timestamp_audit,core.audit,external
scripts.odds_vs_model_comparison,scripts.market_attribution_utils,support
scripts.odds_vs_model_comparison,scripts.odds_ablation,support
scripts.optimize_uncertainty_thresholds,learning.uncertainty,research
scripts.policy_comparator,scripts.counterfactual_common,support
scripts.predict_weekend,core.horse_history_builder,support
scripts.predict_weekend,learning.uncertainty,research
scripts.predict_weekend,scraping.netkeiba_scraper,support
scripts.roi_analysis,learning.roi_analyzer,research
scripts.run_pipeline,learning.trainer,research
scripts.run_pipeline,scripts.collect_data,support
scripts.run_pipeline,simulation.live_simulation,production
scripts.run_pipeline,validation.walk_forward_validation,production
scripts.schedule_simulation,simulation.live_simulation,production
scripts.train_model,learning.trainer,research
scripts.uncertainty_analysis,learning.uncertainty,research
scripts.uncertainty_monitor,learning.uncertainty,research
scripts.walk_forward_eval,learning.model_factory,research
simulation.live_simulation,core.cognition.meta_controller,research
simulation.live_simulation,core.execution.bet_executor,production
simulation.live_simulation,core.portfolio_allocator,support
simulation.live_simulation,core.prediction.predictor,production
simulation.live_simulation,core.prediction.regime_detector,production
simulation.live_simulation,core.security.emergency_shutdown,production
simulation.live_simulation,learning.brier_score,research
simulation.live_simulation,learning.performance_analyzer,research
strategies.explorer_ai,core.utilities,external
strategies.market_ai,core.utilities,external
strategies.wide_ai,core.utilities,external
tools.regime_analysis,core.market.advanced_regime_detector,production
tools.regime_analysis,core.market.regime_metrics,production
tools.regime_analysis,core.market.regime_survival_metrics,production
tools.regime_analysis,core.market.regime_transition_tracker,production
tools.replay_engine,core.audit.decision_reconstruction,support
tools.replay_engine,core.audit.historical_snapshot_loader,support
tools.replay_engine,core.audit.replay_validator,support
tools.simulate_regime_backtest,core.betting.bet_sizer,production
tools.simulate_regime_backtest,core.betting.regime_risk_manager,production
tools.simulate_regime_backtest,core.market.regime_classifier,production
tools.simulate_regime_backtest,core.market.regime_metrics,production
validation.walk_forward_validation,learning.brier_score,research
validation.walk_forward_validation,learning.performance_analyzer,research
